Date,Dividends
2010-05-03,0.122286
2010-05-30,0.122286
2011-04-14,0.206597
2012-04-20,0.120668
2013-04-17,0.187000
2014-04-09,0.160300
2015-04-07,0.197000
2016-04-12,0.291000
2017-04-06,0.325900
2018-04-02,0.345500
2019-04-01,0.398000
2020-04-06,0.209500
2021-04-14,0.585000
2022-04-07,0.902000
2023-03-27,1.733000
